id,data_entrada,data_saida,tipo,regime_detectado,preco_entrada,preco_saida,quantidade,pnl_bruto,taxas_slippage,pnl_liquido,retorno_pct,motivo_saida,candles_duracao,break_even_usado
1,2026-04-03 01:45:00,2026-04-03 02:10:00,COMPRA,Bullish,1.1175585,1.124883589285714,850.4923903312445,6.229932695996842,2.860769899043995,3.369162796952847,0.3369162796952847,Take Profit,5,True
2,2026-04-03 07:15:00,2026-04-03 08:25:00,COMPRA,Bullish,1.1335665,1.1439288214285714,841.3068884881776,8.717892398585873,2.87410875362618,5.843783644959693,0.5824161098064633,Take Profit,14,True
3,2026-04-03 11:30:00,2026-04-03 12:05:00,COMPRA,Bullish,1.1365679999999998,1.1318555054655106,843.9720942956135,-3.977213881629471,2.8717292049856855,-6.848943086615156,-0.6786420161138274,Stop Loss,7,False
4,2026-04-04 15:50:00,2026-04-04 16:05:00,COMPRA,Lateral,1.110555,1.1130227410472757,514.7274611824499,1.2702140841199732,1.716804788086607,-0.4465907039666339,-0.04455374519353481,Take Profit,3,True
5,2026-04-05 01:20:00,2026-04-05 01:35:00,COMPRA,Lateral,1.110555,1.1122701428571429,514.4981308209535,0.8824377940909395,1.7154590717127287,-0.8330212776217892,-0.08314270888030591,Take Profit,3,True
6,2026-04-06 10:15:00,2026-04-06 10:45:00,COMPRA,Bullish,1.1325659999999997,1.1248478571428568,840.1326606051445,-6.484263893502052,2.8447906648325243,-9.329054558334576,-0.9318949170242332,Stop Loss,6,False
7,2026-04-06 11:00:00,2026-04-06 11:05:00,COMPRA,Bullish,1.1325659999999997,1.1262771428571425,832.3035070447048,-5.234237855303196,2.8200646044958244,-8.05430245979902,-0.8121259509086374,Stop Loss,1,False
8,2026-04-06 13:40:00,2026-04-06 13:50:00,COMPRA,Bullish,1.1325659999999997,1.128424729794477,825.544154273672,-3.418801409437072,2.7998215197731904,-6.218622929210262,-0.6321659439225958,Stop Loss,2,False
9,2026-04-06 16:10:00,2026-04-06 16:15:00,COMPRA,Lateral,1.1195595,1.1228796222417092,497.9132926836712,1.6531329974817142,1.6748103704970763,-0.0216773730153621,-0.002217673971619599,Take Profit,1,True
10,2026-04-06 18:40:00,2026-04-06 19:15:00,COMPRA,Lateral,1.1215605,1.1237044285714286,497.01393256949984,1.0655623704338602,1.6738919277144941,-0.608329557280634,-0.06223570278449992,Take Profit,7,True
11,2026-04-06 19:55:00,2026-04-06 20:00:00,COMPRA,Lateral,1.112556,1.110669342857143,500.7247037434886,-0.9446958389226446,1.6698357767357384,-2.614531615658383,-0.26764858269526876,Stop Loss,1,False
12,2026-04-08 05:00:00,2026-04-08 05:05:00,COMPRA,Bullish,1.1535765,1.1490067490715523,802.7111701963488,-3.6681901152800975,2.772463941505105,-6.440654056785203,-0.6610966619212721,Stop Loss,1,False
13,2026-04-08 08:40:00,2026-04-08 09:10:00,COMPRA,Lateral,1.1325659999999997,1.1359993186813186,487.31838757020023,1.6731193237949766,1.6582703897961864,0.014848933998790281,0.0015343021978136513,Take Profit,6,True
14,2026-04-14 13:50:00,2026-04-14 13:55:00,COMPRA,Lateral,1.112556,1.1091257142857145,496.09071818511313,-1.701732903580081,1.6532335158281002,-3.354966419408181,-0.34665474126412604,Stop Loss,1,False
15,2026-04-14 14:00:00,2026-04-14 14:05:00,COMPRA,Lateral,1.108554,1.1048664428571429,496.1557290277827,-1.8296026025459107,1.6473018502061751,-3.476904452752086,-0.36050379513280223,Stop Loss,1,False
16,2026-04-16 17:45:00,2026-04-16 18:20:00,COMPRA,Bullish,1.176588,1.1681623789294817,388.1510148984656,-3.2704133696715556,1.3651758588975602,-4.635589228569116,-0.48238134808532535,Stop Loss,7,False
17,2026-04-16 20:05:00,2026-04-16 20:55:00,COMPRA,Bullish,1.1805899999999998,1.1877364285714282,384.9692276584959,2.751155087659416,1.36759919407552,1.3835558935838959,0.14467127042977693,Take Profit,10,True
18,2026-04-17 14:10:00,2026-04-17 14:20:00,COMPRA,Bullish,1.2066029999999999,1.1997424285714284,377.2146581148238,-2.5879081059009033,1.361563152217111,-3.949471258118014,-0.41237914978678075,Stop Loss,2,False
19,2026-04-20 20:05:00,2026-04-20 21:00:00,COMPRA,Lateral,1.1065530000000001,1.109983285714286,245.77479864676565,0.8430777807294766,0.8171531389720178,0.02592464175745879,0.002718098230434375,Take Profit,11,True
20,2026-04-20 23:45:00,2026-04-21 00:00:00,COMPRA,Lateral,1.102551,1.0999782857142857,246.6736078277892,-0.6346207147672579,0.8149587678802596,-1.4495794826475175,-0.15197866071428792,Stop Loss,3,False
21,2026-04-22 06:10:00,2026-04-22 06:15:00,COMPRA,Bullish,1.1305649999999998,1.1261342142857143,400.32623255703425,-1.7737597522674693,1.355123841704129,-3.128883593971598,-0.3285417172092227,Stop Loss,1,False
22,2026-04-23 14:30:00,2026-04-23 14:35:00,COMPRA,Lateral,1.0975484999999998,1.0944640545667446,246.60843559652437,-0.7606502629779226,0.8108531803344687,-1.5715034433123913,-0.16555627306791532,Stop Loss,1,False
23,2026-04-24 20:15:00,2026-04-24 20:50:00,COMPRA,Bullish,1.1295644999999999,1.136353607142857,398.70324087399354,2.706839020497939,1.355143339309383,1.3516956811885559,0.14263589384569333,Take Profit,7,True
24,2026-04-29 04:30:00,2026-04-29 04:55:00,COMPRA,Lateral,1.4727359999999998,1.4651036142857141,183.74103847634643,-1.4023824771948867,0.8097025524087091,-2.212085029603596,-0.23309486166294627,Stop Loss,5,False
